Index,bloom_doy,Years,Date of bloom,Avg Humidity on BD,Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
1,84,1938,"Friday, March 25, 1938",52.5,2.1,4.9,9.9,13.9,9,5.72,7.41
2,89,1939,"Thursday, March 30, 1939",88.3,3.2,5.7,8,11.9,8.8,11.81,7.08
3,104,1940,"Saturday, April 13, 1940",54.5,-3.9,2.8,4.8,10.4,1.7,7.09,12.71
4,102,1941,"Saturday, April 12, 1941",60.7,1.6,1,4.3,15.9,14.5,6.23,6.88
5,95,1942,"Sunday, April 5, 1942",58.3,1.6,1.2,8.6,15,17.1,8.44,10.43
6,94,1943,"Sunday, April 4, 1943",33.6,2.3,3.8,7.4,10.7,5.1,8.72,11.65
7,100,1944,"Sunday, April 9, 1944",57,3,3.4,6.1,12.1,19.6,6.98,9.54
8,79,1945,"Tuesday, March 20, 1945",55.5,-0.7,3.6,13.4,15.3,23,9.16,7.54
9,82,1946,"Saturday, March 23, 1946",53.1,2.7,4,11.7,13.3,15.5,8.91,10.59
10,102,1947,"Saturday, April 12, 1947",45,5.4,-0.3,4.4,14,14.1,6.8,7.94
11,88,1948,"Sunday, March 28, 1948",55,-1.8,2.7,8.9,13.3,5.3,7.6,15.58
12,88,1949,"Tuesday, March 29, 1949",50.3,5.9,6.6,8.1,12.8,16.6,12.45,11.69
13,99,1950,"Sunday, April 9, 1950",39.6,8.9,3.7,5.4,11.3,8.9,6.61,11.79
14,96,1951,"Friday, April 6, 1951",48.9,4.1,3.7,7.6,13.3,14.6,7.55,9.15
15,100,1952,"Wednesday, April 9, 1952",59.2,4.8,5.1,6.3,13.9,9.8,10.79,14.46
16,86,1953,"Friday, March 27, 1953",54.1,4.8,5.9,8.6,13.4,7.6,9.43,22.89
17,96,1954,"Tuesday, April 6, 1954",66.9,2.2,6.4,6.9,15.3,21.3,6.47,9.75
18,92,1955,"Saturday, April 2, 1955",41,1.9,3.2,8.4,14.6,14.8,6.26,9.65
