Index,bloom_doy,Years,Date of bloom,Avg Humidity on BD(relative %),Jan temp,Feb temp,March temp,April temp,Avg Temp on BD,Precp. Winter,Precp. Spring
1,101,1922,4/11/1922,74,1.3,6.5,5.8,12.8,74,119.1,103.8333333
2,97,1923,4/7/1923,75,1.5,3.7,8.1,12.2,75,44.15,189.1
3,111,1924,4/20/1924,75,2.7,3.7,4,13.8,75,29.8,116.3
4,108,1925,4/18/1925,73,2.4,2.2,5.3,10.7,73,39.45,120.7666667
5,108,1926,4/18/1926,69,2.2,3.8,5.4,10.5,69,59.1,150
6,107,1927,4/17/1927,70,2.7,2,6.1,12.4,70,36.95,129.5666667
7,107,1928,4/16/1928,72,3.6,2.9,6.4,12.5,72,96.3,99.46666667
8,103,1929,4/13/1929,72,1.7,2.2,5.9,12.1,72,15.65,88.3
9,95,1930,4/5/1930,73,2.7,4.8,8.3,13.9,73,68.95,101.6666667
10,105,1931,4/15/1931,71,3.4,3.4,6.8,11.6,71,82.8,132.9333333
11,105,1932,4/14/1932,74,4.6,3,5.8,11,74,24.25,115.9
12,106,1933,4/16/1933,75,2.7,2.7,5.2,12.7,75,39.45,161.6333333
13,104,1934,4/14/1934,72,1.1,2.5,5.5,11.4,72,32.25,87.73333333
14,102,1935,4/12/1935,70,3.2,4.4,6.8,12.2,70,64.35,77.53333333
15,111,1936,4/20/1936,72,0.9,1.4,4.5,11.6,72,47.5,176.7
16,100,1937,4/10/1937,72,4,6.1,7.3,12.5,72,67.45,106.9666667
17,98,1938,4/8/1938,71,2.2,2.4,9,12.5,71,48.4,118.0666667
18,104,1939,4/14/1939,70,2,3.4,6.8,12.7,70,46.3,98.2
19,110,1940,4/19/1940,73,2.3,2.6,6.3,12.2,73,55.45,78.96666667
20,100,1941,4/10/1941,69,4.6,4.1,7.7,11.8,69,65.45,154.9
21,96,1942,4/6/1942,65,3,3.1,9.9,12.1,65,33.85,120.9333333
22,101,1943,4/11/1943,66,1.8,2.7,6.1,10.9,66,41.8,97.56666667
23,100,1944,4/9/1944,72,2.9,2.5,5.7,11,72,38.8,105.4
24,,1945,,67,0.9,1.2,6.6,12.9,67,25.05,106.7
25,97,1946,4/7/1946,73,3.4,3.4,6.1,13.3,73,48.8,190.8666667
26,107,1947,4/17/1947,64,3.8,1.4,5.4,12,64,52.35,115.0666667
27,102,1948,4/11/1948,72,3.5,4.1,6.4,13.5,72,40.1,108.0333333
28,107,1949,4/17/1949,70,4.6,5.8,5.5,10.4,70,71.35,127.3
29,99,1950,4/9/1950,70,5.2,4.4,6.8,13.8,70,112.85,162.6333333
30,98,1951,4/8/1951,71,3.5,4.8,7.4,12.5,71,62.8,130.2
31,105,1952,4/14/1952,71,4.1,3.3,6.8,13.3,71,77.9,180.2333333
32,101,1953,4/11/1953,62,2.9,4,8.6,11.6,62,64.65,144
33,98,1954,4/8/1954,67,5.1,5.3,7.6,14.5,67,81.45,141.4333333
34,97,1955,4/7/1955,68,3.2,5.6,9,14.1,68,82.4,164
35,99,1956,4/8/1956,65,3.6,3.4,8.3,12.8,65,46.75,202.0333333
36,103,1957,4/13/1957,64,4.3,3.6,5.2,14.1,64,55.7,115.1
37,99,1958,4/9/1958,68,4,5.3,7.5,13.9,68,80.75,110.4333333
38,92,1959,4/2/1959,66,3.4,7.5,9,14,66,123.55,141.2666667
39,95,1960,4/4/1960,65,3.9,5.4,8.9,12.3,65,33.8,139.4333333
40,99,1961,4/9/1961,63,2.6,3.3,8,14.1,63,45.05,143.0333333
41,102,1962,4/12/1962,64,3.2,4.8,7.3,13.1,64,34.85,118.4333333
42,101,1963,4/11/1963,69,1.1,2.3,7,14.2,69,45.5,194.2
43,99,1964,4/8/1964,73,5.5,3.2,6.6,17.2,73,81.2,129.9333333
44,110,1965,4/20/1965,65,3.3,3.8,5.5,10.7,65,47.55,164.6666667
45,97,1966,4/7/1966,67,3.4,5.7,8.5,13.5,67,58.5,175.2666667
46,97,1967,4/7/1967,70,3.2,4.1,7.7,13.8,70,57.3,172.2
47,99,1968,4/8/1968,62,3.4,2.3,8,14.3,62,53.75,101.6666667
